SMILES,MolWt,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,HeavyAtoms,FractionCSP3
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,536.888,12.6058,0,0,0,10,0,40,0.45
C1=CC(=C(C=C1C2=C(C(=C3C(=CC(=O)C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,464.379,-0.5873,8,12,210.51,4,1,33,0.285714286
C1=CC(=CC=C1C2=C(C(=C3C(=CC(=O)C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,448.38,-0.2929,7,11,190.28,4,1,32,0.285714286
C1=CC(=CC=C1C2=C(C(=C3C(=CC(=O)C=C3O2)O)O)O)O,286.239,2.234,4,6,111.13,1,1,21,0
C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)O)O)O)O)[NH3+])O)O)O,342.321,-6.7608,9,10,207.94,3,0,23,1
C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)O)O)O)O)N)O)O)O,341.313,-6.044,9,11,206.32,3,0,23,1
CC(=O)NC1C(C(C(OC1OC2C(C(C(C(C2O)O)O)O)O)CO)O)O,383.35,-5.8666,9,11,209.4,4,0,26,0.928571429
CC(=O)NC(CS)C(=O)NC1C(C(C(OC1OC2C(C(C(C(C2O)O)O)O)O)CO)O)O,486.496,-6.452,11,13,238.5,7,0,32,0.882352941
CC(=O)NC(CS)C(=O)O,163.198,-0.4945,3,3,66.4,3,0,10,0.6
CC(=O)NC(CSSCC(C(=O)NC1C(C(C(OC1OC2C(C(C(C(C2O)O)O)O)O)CO)O)O)NC(=O)C)C(=O)NC3C(C(C(OC3OC4C(C(C(C(C4O)O)O)O)O)CO)O)O,970.976,-12.3686,20,26,477,17,0,64,0.882352941
CN1C(CCC1=O)C2=C[N+](=CC=C2)C,191.254,0.8044,0,1,24.19,1,1,14,0.454545455
C1=CC=C2C(=C1)C=CC(O2)(C(=O)O)O,192.17,0.8654,2,3,66.76,1,1,14,0.1
C1=CC=C(C(=C1)C=CC(=O)C(=O)O)O,192.17,1.0591,2,3,74.6,3,1,14,0
CN(CC(=O)O)C(=N)N,131.135,-1.10373,3,2,90.41,2,0,9,0.5
CN(CC(=O)O)C(=NP(=O)(O)O)N,211.114,-1.5898,4,2,136.45,3,0,13,0.5
CN1CC(=O)N=C1N,113.12,-1.2269,1,3,58.69,0,0,8,0.5
C[N+](C)(C)CC=CC(=O)[O-],143.186,-1.0013,0,2,40.13,3,0,10,0.571428571
C[N+](C)(C)CC=CC(=O)O,144.194,0.3334,1,1,37.3,3,0,10,0.571428571
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC[N+](C)(C)C)O,893.72,-1.0729,9,18,363.63,22,2,57,0.642857143
CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,835.616,-0.7592,9,18,363.63,20,2,53,0.6
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,483.156,-2.212,7,12,270.42,8,1,29,0.555555556
C(C(C(=O)O)N)S,121.161,-0.6719,3,3,63.32,2,0,7,0.666666667
C(C(C(=O)O)N)SSCC(C(=O)O)N,240.306,-0.8084,4,6,126.64,7,0,14,0.666666667
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,243.219,-2.563,4,7,130.83,2,1,17,0.555555556
C1=C(NC(=O)N=C1)N,111.104,-0.6479,2,3,71.77,0,1,8,0
C(CS(=O)(=O)O)S,142.201,-0.196,2,3,54.37,2,0,7,1
C(C(C(=O)O)O)C(=O)C(=O)O,162.097,-1.5243,3,4,111.9,4,0,11,0.4
C(C1C(C(C(C(=O)O1)O)O)O)OP(=O)(O)O,258.119,-2.8962,5,7,153.75,3,0,16,0.833333333
CC(C(=O)NC(C)C(=O)O)N,160.173,-1.0771,3,3,92.42,3,0,11,0.666666667
CC(C(=O)O)N,89.094,-0.5818,2,2,63.32,1,0,6,0.666666667
C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O,260.135,-3.2602,6,7,164.75,7,0,16,0.833333333
C(C(C(C(C(C(=O)O)O)O)O)O)O,196.155,-3.4931,6,6,138.45,5,0,13,0.833333333
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(C[N+](C)(C)C)O)O,911.735,-1.8781,10,19,383.86,23,2,58,0.714285714
C1=C(NC=N1)C(C(COP(=O)(O)O)O)O,238.136,-1.0867,5,5,135.9,5,1,15,0.5
C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O,210.138,-3.4008,6,6,155.52,5,0,14,0.666666667
C(C(C1C(C(C(=O)O1)O)O)O)O,178.14,-3.0132,4,6,107.22,2,0,12,0.833333333
C(C1C(C(C(C(O1)O)N)O)O)OP(=O)(O)O,259.151,-3.138,6,7,162.7,3,0,16,1
C1CC(NC1)C(=O)O,115.132,-0.177,2,2,49.33,1,0,8,0.8
C(C(C(C(=O)COP(=O)(O)O)O)O)O,230.109,-2.6211,5,6,144.52,6,0,14,0.8
C(C(C(C(C(C(=O)CO)O)O)O)O)OP(=O)(O)O,290.161,-3.8993,7,8,184.98,8,0,18,0.857142857
C(C(C(=O)O)N)O,105.093,-1.6094,3,3,83.55,2,0,7,0.666666667
C(C(C(C(C(COP(=O)(O)O)O)O)O)O)O,262.151,-3.4684,7,7,167.91,7,0,16,1
C(C(C(C(=O)CO)O)O)O,150.13,-2.7381,4,5,97.99,4,0,10,0.8
C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)O)O,411.204,-0.7168,5,10,212.37,6,2,26,0.5
C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O,331.225,-0.8338,4,8,165.84,4,2,22,0.5
C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,491.183,-0.5998,6,12,258.9,8,2,30,0.5
C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)O)O,387.178,-1.2998,5,9,203.66,6,1,24,0.555555556
C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O,307.199,-1.4168,4,7,157.13,4,1,20,0.555555556
C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,467.157,-1.1828,6,11,250.19,8,1,28,0.555555556
C(C(C(C(CO)O)O)O)C(=O)O,180.156,-2.4639,5,5,118.22,5,0,12,0.833333333
C(C(C(C(=O)CC(=O)O)O)O)O,178.14,-2.2557,4,5,115.06,5,0,12,0.666666667
C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)O,665.422,-2.4166,8,16,312.47,11,3,44,0.476190476
CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=O)NC2=O)N)C(=N)N,423.43,-2.50763,6,7,209.62,8,1,30,0.470588235
C1CC(N=C(C1)C(=O)O)C(=O)O,171.152,0.1491,2,3,86.96,2,0,12,0.571428571
CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C2=CC=CC=C2C1=O)C)C)C)C)C)C)C)C,703.108,15.4338,0,2,34.14,23,1,52,0.48
C1C(C(OC1OP(=O)(O)O)CO)O,214.11,-1.4361,4,5,116.45,3,0,13,1
C1C(C(OC1O)COP(=O)(O)O)O,214.11,-1.4361,4,5,116.45,3,0,13,1
C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O,251.246,-0.9508,3,7,119.31,2,2,18,0.5
C1C(C(OC1N2C=CC(=NC2=O)N)CO)O,227.22,-1.5338,3,6,110.6,2,1,16,0.555555556
C1C(C(OC1N2C=NC3=C2NC=NC3=O)CO)O,252.23,-1.2397,3,6,113.26,2,2,18,0.5
C1C(C(OC1N2C=CC(=O)NC2=O)CO)O,228.204,-1.8227,3,5,104.55,2,1,16,0.555555556
CC(=O)C(C(COP(=O)(O)O)O)O,214.11,-1.5935,4,5,124.29,5,0,13,0.8
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)C(C(=O)NCCC(=O)NCCS)O,687.562,-1.7823,9,16,300.03,16,2,44,0.666666667
CC1C(NC(=O)N1)CCCCCC(=O)O,214.265,1.0914,3,2,78.43,6,0,15,0.8
C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)OP(=O)(O)O)O,427.203,-1.4235,6,10,232.34,6,2,27,0.5
C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)O)O,347.224,-1.5405,5,8,185.81,4,2,23,0.5
C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,507.182,-1.3065,7,12,278.87,8,2,31,0.5
CC(=CCOP(=O)(O)OP(=O)(O)O)C,246.092,1.1789,3,4,113.29,5,0,14,0.6
C1C(NC(=O)NC1=O)C(=O)O,158.113,-1.3309,3,3,95.5,1,0,11,0.4
C1CNC(=O)NC1=O,114.104,-0.7841,2,2,58.2,0,0,8,0.5
CC(=O)C(=O)C,86.09,0.1644,0,2,34.14,1,0,6,0.5
C(C1C(C(C(O1)NC2=C(C(=O)N=C(N2)N)N)O)O)OP(=O)(O)O,353.228,-3.0978,8,10,226.27,5,1,23,0.555555556
CC(C(CCCCCC(=O)O)N)N,188.271,0.696,3,3,89.34,7,0,13,0.888888889
C1=CC=C2C(=C1)C(=O)C(=C(O2)O)CC3=C(OC4=CC=CC=C4C3=O)O,336.299,2.9014,2,6,100.88,2,4,25,0.052631579
CCOP(=O)(O)OCC,154.102,1.1598,1,3,55.76,4,0,9,1
CCOP(=S)(O)OCC,170.17,1.2762,1,3,38.69,4,0,9,1
CCCCCCCCCC(CCCCCCCCCCCC(=O)O)OC1C(C(C(C(O1)COC(=O)C)O)O)OC2C(C(C(C(O2)COC(=O)C)O)O)O,764.947,3.6537,6,14,227.97,28,0,53,0.921052632
C1C(=NC2=C(N1)NC(=NC2=O)N)C(C(CO)O)O,255.234,-2.4358,6,8,156.85,3,1,18,0.444444444
C1CC(=O)OC2=CC=CC=C21,148.161,1.5382,0,2,26.3,0,1,11,0.222222222
C1C(=NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,443.42,0.01,7,9,211.89,9,2,32,0.263157895
C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,288.255,1.4807,4,6,107.22,1,2,21,0.133333333
C(CCC(=O)N)CC(CCS)S,207.364,1.6504,3,3,43.09,7,0,12,0.875
C1C(=NC2=C(N1)NC(=NC2=O)N)C(C(COP(=O)(O)O)O)O,335.213,-2.3188,7,9,203.38,5,1,22,0.444444444
C1C(=NC2=C(N1)NC(=NC2=O)N)C(C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,495.171,-2.0848,9,13,296.44,9,1,30,0.444444444
C1C(=NC2=C(N1)NC(=NC2=O)N)COP(=O)(O)OP(=O)(O)O,355.14,-0.9236,6,9,209.45,5,1,22,0.285714286
CC1(C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)C=C5C(C(C(=CC(=N2)C1CCC(=O)O)N5)(C)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O)CC(=O)O,866.874,3.3535,11,10,354.37,20,2,62,0.5
C(C(=O)COP(=O)(O)O)O,170.057,-1.3429,3,4,104.06,4,0,10,0.666666667
CC(=O)C(COP(=O)(O)O)O,184.084,-0.9544,3,4,104.06,4,0,11,0.75
C(C(=O)CO)O,90.078,-1.4599,2,3,57.53,2,0,6,0.666666667
C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)O,204.181,1.9492,3,3,77.76,1,2,15,0
CC1=C(N(C2=NC(=O)NC(=O)C2=N1)CC(C(C(CO)O)O)O)C,326.309,-2.87676,5,8,161.56,5,0,23,0.538461538
CNC,45.085,-0.1644,1,1,12.03,0,0,3,1
CC1=CC2=C(C=C1C)N=CN2,146.193,2.17974,1,1,28.68,0,2,11,0.222222222
C1C(C(OC1N2C=NC3=C2NC=NC3=O)COP(=O)(O)O)O,332.209,-1.1227,4,7,159.79,4,2,22,0.5
CC(C)(C(C(=O)O)O)O,134.131,-0.7972,3,3,77.76,2,0,9,0.8
C1C(C(OC1N2C=NC3=C2NC=NC3=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,492.167,-0.8887,6,11,252.85,8,2,30,0.5
CS(=O)C,78.136,-0.0053,0,1,17.07,0,0,4,1
CCC(=CCCCC(C)CCOP(=O)(O)O)C,264.302,3.6485,2,2,66.76,9,0,17,0.833333333
C1=CC(=O)C(=O)C=C1CC(C(=O)O)N,195.174,-0.5772,2,4,97.46,3,0,14,0.222222222
C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O,266.035,-1.9075,5,6,170.82,5,0,15,0.666666667
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O,564.33,-3.45608,8,14,276.76,9,1,36,0.75
CC1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O,546.315,-2.22028,6,13,253.37,8,1,35,0.6875
CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O)O,548.331,-2.42848,7,13,256.53,8,1,35,0.75
C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)O)O,388.162,-1.5887,5,8,197.61,6,1,24,0.555555556
C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)O)O,308.183,-1.7057,4,6,151.08,4,1,20,0.555555556
C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,468.141,-1.4717,6,10,244.14,8,1,28,0.555555556
CC1=NCCC(N1)C(=O)O,142.158,-0.1487,2,3,61.69,1,0,10,0.666666667
C1=CC=C(C=C1)C=C(C(=O)O)O,164.16,1.6701,2,2,57.53,2,1,12,0
C1C(C(=O)OCC(C(=O)OCC(C(=O)O1)NC(=O)C2=C(C(=CC=C2)O)O)NC(=O)C3=C(C(=CC=C3)O)O)NC(=O)C4=C(C(=CC=C4)O)O,669.552,-0.741,9,15,287.58,6,3,48,0.2
CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC1C(O1)(C)C)C)C)C,426.729,9.8162,0,1,12.53,15,0,31,0.666666667
C1=CC(=CN=C1)C=NO,122.127,0.8897,1,3,45.48,1,1,9,0
C(C(C(C(=O)[O-])O)O)OP(=O)(O)O,215.074,-3.4326,4,6,147.35,5,0,13,0.75
C(C(C(C(=O)O)O)O)OP(=O)(O)O,216.082,-2.0979,5,5,144.52,5,0,13,0.75
C(C(C(C=O)O)O)OP(=O)(O)O,200.083,-1.9836,4,5,124.29,5,0,12,0.75
