SMILES,MolWt,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,HeavyAtoms,FractionCSP3
COC1=C(C=CC(=C1)S(=O)(=O)O)O,204.203,0.6475,2,4,83.83,2,1,13,0.142857143
[K+].[I-],166.002,-5.992,0,0,0,0,0,2,0
C1=CC(=CC=C1C(=O)[O-])N,136.13,-0.3677,1,3,66.15,1,1,10,0
CC(C)(C)N1C2=NC=NC(=C2C(=N1)C3=CC=CC4=CC=CC=C43)N,317.396,3.9837,1,4,69.62,1,4,24,0.210526316
CC(C)(C)N1C2=NC=NC(=C2C(=N1)C3=CC=C(C=C3)Cl)N,301.781,3.4839,1,4,69.62,1,3,21,0.266666667
C1=CC=C(C=C1)N2C3=NC=NC(=C3C=N2)N,211.228,1.3977,1,4,69.62,1,3,16,0
CC1=C(C(=C(C(=N1)N=NC2=C(C=C(C=C2)S(=O)(=O)[O-])S(=O)(=O)[O-])COP(=O)([O-])[O-])C=O)O.[Na+].[Na+].[Na+].[Na+],599.311,-12.50698,1,15,261.73,8,2,36,0.142857143
CC1=C(C(=C(C(=N1)N=NC2=C(C=C(C=C2)S(=O)(=O)O)S(=O)(=O)O)COP(=O)(O)O)C=O)O,511.383,1.42622,5,11,250.41,8,2,32,0.142857143
C1=CC=C(C=C1)C(=O)NC2=CC(=O)C3=CC=CC=C3C2=O,277.279,2.3795,1,3,63.24,2,2,21,0
CC(C)NCC(COC1=CC=C(C=C1)NC(=O)C)O,266.341,1.3827,3,4,70.59,7,1,19,0.5
C[N+]1=CC=CC=C1C=NO,137.162,0.3192,1,2,36.47,1,1,10,0.142857143
CCCNC1CCC2=C(C1)SC(=N2)N,211.334,1.5822,2,4,50.94,3,1,14,0.7
CCCCOC1=CC=C(C=C1)OCCCN2CCOCC2,293.407,2.9666,0,4,30.93,9,1,21,0.647058824
C1=CC=C(C=C1)CCCCOC2=CC=C(C=C2)C(=O)NC3=CC=CC4=C3OC(=CC4=O)C5=NNN=N5,481.512,4.6271,2,7,123,9,5,36,0.148148148
CC(C1=CC2=C(C=C1)OC3=C(C2)C=CC=N3)C(=O)O,255.273,2.9662,1,3,59.42,2,2,19,0.2
CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O,424.534,2.4404,4,6,124.29,10,0,30,0.739130435
C1CC1CN2C(=O)CN=C(C3=C2C=CC(=C3)Cl)C4=CC=CC=C4,324.811,3.934,0,2,32.67,3,2,23,0.263157895
C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,312.413,2.5349,0,2,40.62,1,1,23,0.578947368
COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC5CCC4C=C5)N)OC,421.501,2.4002,1,7,93.81,4,2,31,0.434782609
COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,383.408,1.7846,1,8,106.95,4,3,28,0.315789474
CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,360.45,1.5576,3,5,94.83,2,0,26,0.714285714
CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)O,402.487,2.1284,2,6,100.9,3,0,29,0.695652174
CC12CC(C3C(C1CCC2(C(=O)COP(=O)(O)O)O)CCC4=CC(=O)C=CC34C)O,440.429,1.6746,4,6,141.36,4,0,30,0.714285714
CC12CC(C3C(C1CCC2(C(=O)COC(=O)CCC(=O)O)O)CCC4=CC(=O)C=CC34C)O,460.523,1.9733,3,7,138.2,6,0,33,0.68
CC12CC(C3C(C1CCC2(C(=O)COC(=O)CC(C)(C)C)O)CCC4=CC(=O)C=CC34C)O,458.595,3.5447,2,6,100.9,4,0,33,0.740740741
CCCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)C(=O)COC(=O)C,486.605,3.8695,1,7,106.97,7,0,35,0.714285714
CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C,358.434,1.7658,2,5,91.67,2,0,26,0.666666667
CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,320.517,4.387,2,2,40.46,1,0,23,1
CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OS(=O)(=O)[O-])C)C,395.541,3.9998,0,5,83.5,3,0,27,0.857142857
CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OS(=O)(=O)O)C)C,396.549,4.3424,1,4,80.67,3,0,27,0.857142857
C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,295.426,3.7985,1,2,23.47,5,2,22,0.4
CC[N+]1(CCC(=C(C2=CC=CC=C2)C3=CC=CC=C3)C1C)CC,306.473,5.1373,0,0,0,4,2,23,0.363636364
CCCNC(C)C(=O)NC1=CC=CC=C1C,220.316,2.32162,2,2,41.13,5,1,16,0.461538462
CC1CCN(C(C1=O)(CO)CO)C,187.239,-0.7495,2,4,60.77,2,0,13,0.888888889
CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,259.353,2.7827,2,4,60.17,6,2,19,0.4
CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,218.256,0.5379,2,2,58.2,2,1,16,0.333333333
CCCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OCCN(CC)CC,353.506,4.6578,0,3,29.54,10,2,26,0.434782609
CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,285.365,2.1955,1,3,74.68,7,1,19,0.461538462
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)SC(C)(C)SC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,516.857,9.9083,2,4,40.46,4,2,35,0.612903226
CCN(CC)CCNC(=O)C1=CC=C(C=C1)N,235.331,1.3404,2,3,58.36,6,1,17,0.461538462
CCN(CC)CCOC(=O)C1=CC=C(C=C1)N,236.315,1.7674,1,4,55.56,6,1,17,0.461538462
CC(C)NC(=O)C1=CC=C(C=C1)CNNC,221.304,1.0488,3,3,53.16,5,1,16,0.416666667
CCC(C(C1=C2C=CC(=O)NC2=C(C=C1)O)O)NC(C)C,290.363,2.0437,4,4,85.35,5,2,21,0.4375
CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,373.953,4.5802,0,4,9.72,4,2,25,0.4
CC(C)C(C(=O)N1CCCC1C(=O)NC(C(C)O)C(=O)O)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CCCN=C(N)N)N,634.735,-2.1176,9,9,275.79,16,1,45,0.586206897
C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O,287.447,3.9404,1,2,23.47,5,1,21,0.684210526
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,314.469,4.7235,0,2,34.14,1,0,23,0.80952381
CCCN(CCC)C(=O)C(CCC(=O)OCCCN1CCN(CC1)CCOC(=O)CC2=C(N(C3=C2C=C(C=C3)OC)C(=O)C4=CC=C(C=C4)Cl)C)NC(=O)C5=CC=CC=C5,844.45,6.16422,1,10,139.72,21,4,60,0.456521739
CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)C1=CC=CC=C1,334.416,2.2984,2,3,86.71,10,1,24,0.5
CC(C)N=C(N)N=C(N)NC1=CC=C(C=C1)Cl,253.737,1.7897,3,1,88.79,2,1,17,0.272727273
C1CC(N(C1)[N+](=N[O-])[O-])C(=O)[O-].[Na+].[Na+],219.108,-7.416,0,5,104.86,2,0,14,0.8
C1CC(N(C1)N(N=O)[O-])C(=O)O,174.136,-0.0684,1,5,96.27,3,0,12,0.8
CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,284.428,4.241,0,3,6.48,4,2,20,0.294117647
CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,284.428,4.2394,0,3,6.48,3,2,20,0.294117647
CC(C)NC1=NC(=NC(=N1)OC)NC(C)C,225.296,1.5208,2,6,71.96,5,1,16,0.7
CC(C)NC1=NC(=NC(=N1)SC)NC(C)C,241.364,2.2341,2,6,62.73,5,1,16,0.7
CC(C)NCC(C1=CC2=CC=CC=C2C=C1)O,229.323,2.8712,2,2,32.26,4,2,17,0.333333333
CC(C)N(C1=CC=CC=C1)C(=O)CCl,211.692,2.6668,0,1,20.31,3,1,14,0.363636364
CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,341.451,3.2414,2,4,58.56,11,2,25,0.380952381
CCC(=O)NC1=CC(=C(C=C1)Cl)Cl,218.083,3.3419,1,1,29.1,2,1,13,0.222222222
CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C,368.497,4.7308,0,3,35.53,6,2,27,0.434782609
CCCOC1=C(C=C(C=C1)C(=O)OCCN(CC)CC)N,294.395,2.5562,1,5,64.79,9,1,21,0.5625
CC(C)(C)C1=CC=C(C=C1)OC2CCCCC2OS(=O)OCC#C,350.48,3.9192,0,4,44.76,6,1,24,0.578947368
CC(C)NC1=NC(=NC(=N1)Cl)NC(C)C,229.715,2.1656,2,5,62.73,4,1,15,0.666666667
CCCN1C=NC2=C1C(=O)N(C(=O)N2C)CCCCC(=O)C,306.366,1.066,0,4,78.89,7,2,22,0.6
CC[N+](C)(CC)CCC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N,414.597,4.9884,2,2,55.92,7,4,31,0.296296296
CCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CC(C)N(C)C,340.492,4.8321,0,4,23.55,5,2,24,0.35
CCC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C=O,440.589,0.1955,5,5,168.77,15,0,31,0.761904762
CCCOC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OC3CCN(CC3)C,367.489,3.9942,0,4,38.77,7,2,27,0.434782609
CC(C)C1=C(C(=CC=C1)C(C)C)O,178.275,3.639,1,1,20.23,2,1,13,0.5
CC(C)OC1=CC=CC=C1OC(=O)NC,209.245,2.192,1,3,47.56,3,1,15,0.363636364
CC(CN(C)C)C(CC1=CC=CC=C1)(C2=CC=CC=C2)O,283.415,3.3146,1,2,23.47,6,2,21,0.368421053
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,259.349,2.5775,2,3,41.49,6,2,19,0.375
CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,212.201,1.3702,3,5,86.99,3,1,15,0.3
C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)CSC4=NNN=C4,462.513,0.041,5,9,174.53,7,2,31,0.277777778
CCCOC(=O)CN1C=C(C(=O)C(=C1)I)I,447.01,2.0107,0,3,48.3,4,1,16,0.4
CCCC1=CC(=O)N=C(N1)S,170.237,1.0111,2,3,45.75,2,1,11,0.428571429
CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O,530.658,3.0138,4,8,129.59,3,1,38,0.766666667
CCCCCC(C=CC1C=CC(=O)C1CCCCCCC(=O)O)O,336.472,4.2803,2,3,74.6,13,0,24,0.7
CCCCCC(C=CC1C=CC(=O)C1CC=CCCCC(=O)O)O,334.456,4.0563,2,3,74.6,12,0,24,0.6
CCCCCC(C=CC1=C(C(=O)CC1)CCCCCCC(=O)O)O,336.472,4.5685,2,3,74.6,13,0,24,0.7
CCCCCC(C=CC1=C(C(=O)CC1)CC=CCCCC(=O)O)O,334.456,4.3445,2,3,74.6,12,0,24,0.6
CCCCCC(C=CC1C(C(CC1=O)O)CC=CCCCC(=O)O)O,352.471,3.2511,3,4,94.83,12,0,25,0.7
CCCCCC(C=CC1C(CC(C1CCCCCCC(=O)O)O)O)O,356.503,3.2669,4,4,97.99,13,0,25,0.85
CCCCCC(C=CC1C2CC(C1CC=CCCCC(=O)O)OO2)OO,368.47,4.5174,2,5,85.22,13,0,26,0.75
CCCCCC(C=CC1C(CC2C1CC(=CCCCCC(=O)[O-])O2)O)O,365.49,2.4639,2,5,89.82,11,0,26,0.761904762
CCCCCC(C=CC1C(CC2C1CC(=CCCCCC(=O)O)O2)O)O,366.498,3.7986,3,4,86.99,11,0,26,0.761904762
CCCCCC(C=CC1C(C=CC1=O)CC=CCCCC(=O)O)O,334.456,4.0563,2,3,74.6,12,0,24,0.6
CC1CC2(C(C2(C)C)C3C1(C4C=C(C(=O)C4(CC(=C3)CO)O)C)O)OC(=O)C,390.476,1.5301,3,6,104.06,2,0,28,0.727272727
CCCSSC(=C(C)N(CC1=CN=C(N=C1N)C)C=O)CCO,356.517,2.73092,2,7,92.34,10,1,23,0.533333333
C1=CC(=CC=C1C(=O)CBr)O,215.046,1.9698,1,2,37.3,2,1,11,0.125
COC1=CC=C(C=C1)C(=O)CBr,229.073,2.2728,0,2,26.3,3,1,12,0.222222222
C1=CC(=CC=C1C(=O)CBr)OCC(=O)O,273.082,1.7276,1,3,63.6,5,1,15,0.2
CCCC1=NC=CC(=C1)C(=N)S,180.276,2.28927,2,2,36.74,3,1,12,0.333333333
C1CC(N(C1)C(=O)C(CC2=CN=CN2)NC(=O)C3CCC(=O)N3)C(=O)O,363.374,-1.2088,4,5,144.49,6,1,26,0.5625
CC(CC1=CC2=C(C=C1)OCO2)NCC(C3=CC(=C(C=C3)O)O)O,331.368,2.0807,4,6,91.18,6,2,24,0.333333333
CN1CCC2=CC3=C(C=C2C(=O)CC4=C(C1)C5=C(C=C4)OCO5)OCO3,353.374,2.5573,0,6,57.23,0,2,26,0.35
CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C,562.67,7.80864,4,4,131.96,8,3,42,0.235294118
CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Co+2],619.587,6.75974,2,4,128.58,8,3,43,0.235294118
CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C=C)C)C=C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2],616.499,6.75974,2,4,128.58,8,3,43,0.235294118
CCC(C)C(=O)OC1C(C2C(CN3CC(CCC3C2(C)O)C)C4C1(C5C(C(C6C7(C5(C4)OC6(C(CC7)OC(=O)C(C)(CC)O)O)C)OC(=O)C)OC(=O)C)O)O,793.948,1.6072,5,15,218.82,8,0,56,0.902439024
CCC(C)C(=O)OC1C(C2C(CN3CC(CCC3C2(C)O)C)C4C1(C5C(C(C6C7(C5(C4)OC6(C(CC7)OC(=O)C(C)(C(C)O)O)O)C)OC(=O)C)OC(=O)C)O)O,809.947,0.578,6,16,239.05,8,0,57,0.902439024
CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13,263.384,4.3019,1,1,12.03,4,2,20,0.263157895
CC(CN1C=NC2=C1C(=O)N(C(=O)N2C)C)O,238.247,-1.1855,1,4,82.05,2,2,17,0.5
CC1=CC(=O)C2=C(C3=C(C=C(C4=C3C5=C2C1=C6C(=CC(=O)C7=C(C8=C(C=C(C4=C8C5=C67)O)O)O)CO)O)O)O,520.449,4.26492,7,9,175.75,1,8,39,0.066666667
COC1=C2C(=C(C(=CO2)C3=CC=C(C=C3)O)O)C(=CC1=O)O,300.266,2.537,3,6,100.13,2,1,22,0.0625
CN(C)CCC1=CNC2=C1C(=CC=C2)O,204.273,1.9776,2,2,39.26,3,2,15,0.333333333
CC(C)(C(CC1=C2C=CC(=O)OC2=C(C3=C1C=CO3)OC)O)O,318.325,2.2221,2,6,93.04,4,3,23,0.352941176
CCCCCCCCCCCCCC=CC(C(COC1C(C(C(C(O1)CO)O)O)O)N)O,461.64,1.7484,6,8,145.63,18,0,32,0.916666667
CC1(C([N+](=C(N1O)C2=CC=CC=C2)[O-])(C)C)C,234.299,2.2055,1,3,49.54,1,1,17,0.461538462
CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)NC(=O)C(CC4=CC=C(C=C4)OC)N)O,471.518,-0.7937,4,10,160.88,8,3,34,0.454545455
CCC(C(C)C)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NC3=CC(=CC=C3)Cl,386.931,5.6507,2,5,67.66,7,3,27,0.45
CC(C)C(CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NC3=CC(=CC=C3)Cl,388.903,4.233,3,6,87.89,7,3,27,0.421052632
CC1(CCCC2(C1CCC3(C2C=C4C=C(C(=O)C=C4O3)O)C)C)C,328.452,4.8528,1,3,46.53,0,0,24,0.666666667
CN1CCCN=C1C=CC2=CC=CS2,206.314,2.4953,0,3,15.6,2,1,14,0.363636364
CNC(=O)OCC1=NC(=CC=C1)COC(=O)NC,253.258,0.7936,2,5,89.55,4,1,18,0.363636364
C[N+]1=CC=CC(=C1)OC(=O)N(C)C,181.215,0.5715,0,2,33.42,1,1,13,0.333333333
CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2,285.391,2.6584,0,4,28.6,7,2,21,0.352941176
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,248.717,2.5238,2,4,77.82,2,2,17,0.166666667
CCC1(C(=O)C=CNC1=O)CC,167.208,1.0054,1,2,46.17,2,0,12,0.555555556
OP(=O)([O-])OP(=O)(O)[O-],175.957,-2.0756,2,5,129.95,2,0,9,0
C1=CC(=CN=C1)NC(=O)CCCCCCC(=O)NO,265.313,1.8661,3,4,91.32,8,1,19,0.461538462
CC(=CCCC(=CCC1=CNC(=C1)C(=O)O)C)C,247.338,3.9481,2,1,53.09,6,1,18,0.4
CC1C=C(C(=O)C2(C1CC3C4(C2C(=O)C(=C(C4CC(=O)O3)C)OC)C)C)OC,388.46,2.819,0,6,78.9,2,0,28,0.681818182
C1C(=S)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F)CC(F)(F)F,386.801,5.0262,0,2,15.6,2,2,25,0.176470588
CC1C(=O)N=C2N1CC3=C(N2)C=CC=C3Cl,235.674,1.8522,1,3,44.7,0,1,16,0.272727273
CC1C(C(C(C(O1)OC2=C(OC3=CC(=O)C=C(C3=C2O)O)C4=CC(=C(C=C4)O)O)O)O)O,448.38,0.4403,7,11,190.28,3,1,32,0.285714286
C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,383.517,2.856,1,6,48.3,5,2,27,0.380952381
CC1=CC(=C(C=C1)OCC2=NC3=C(C=C(C=C3C=C2)OC)N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,541.513,2.08202,4,9,187.03,14,3,39,0.269230769
C1=CC(=C(C2=C1C(=O)C3=C(C=CC(=C3C2=O)O)O)O)O,272.212,1.2844,4,6,115.06,0,2,20,0
CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC=CC=C3CC2C(=O)O,438.524,2.5671,2,5,95.94,9,2,32,0.4
C1CC2CC3=NC(=NC=C3CC2N(C1)[NH-])N.[Pr],359.192,1.2052,1,4,78.84,0,1,17,0.636363636
C1CC2CC3=NC(=NC=C3CC2N(C1)N)N,219.292,0.1117,2,5,81.06,0,1,16,0.636363636
COC1=CC2=C(C=C[NH+]=C2C=C1)C(C3CC4CCC3CC4C=C)O,324.444,3.9343,1,2,43.6,4,2,24,0.476190476
COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCC3CC4C=C)O,323.436,4.5152,1,3,42.35,4,2,24,0.476190476
CCOC(=O)OC(C1CC2CCN1CC2C=C)C3=C4C=C(C=CC4=NC=C3)OC,396.487,4.354,0,6,60.89,6,2,29,0.47826087
C1CN(CCN1)C2=NC3=CC=CC=C3C=C2,213.284,1.6444,1,3,28.16,1,2,16,0.307692308
C1CN(CCN1)C2=NC3=C(C=C2)C=C(C=C3)[N+](=O)[O-],258.281,1.5526,1,5,71.3,2,2,19,0.307692308
CN1CCN(CC1)C2=NC3=CC=CC=C3C=C2,227.311,1.9866,0,3,19.37,1,2,17,0.357142857
CC1=C(C(=CC=C1)C)NC(=O)C[N+](C)(C)C,221.324,1.94814,1,1,29.1,3,1,16,0.461538462
CCC(CC)(CC)CC(=O)NC1=C(C=CC=C1C)C,261.409,4.84844,1,1,29.1,6,1,19,0.588235294
C=CCN1CCC2=C(C(=C(C=C2C(C1)C3=CC=CC=C3)O)O)Br,374.278,4.0363,2,3,43.7,3,2,23,0.263157895
CCCCC1(CC2=CC(=C(C(=C2C1=O)Cl)Cl)OCC(=O)O)C3CCCC3,399.314,5.5624,1,3,63.6,7,1,26,0.6
CN1CCC2=CC(=C(C=C2C(C1)C3=CC=CC=C3)O)Cl,287.79,3.6654,1,2,23.47,1,2,20,0.294117647
CCCN1CCC2=C3C1CC4=C(C3=CC(=C2)O)C(=C(C=C4)O)O,311.381,3.3357,3,4,63.93,2,2,23,0.368421053
CN1CCC2=C3C1CC4=C(C3=CC(=C2)O)C(=C(C=C4)O)O,283.327,2.5555,3,4,63.93,0,2,21,0.294117647
CC(CC1=CC=CC=C1)NC2=C3C(=NC=N2)N(C=N3)C4C(C(C(O4)CO)O)O,385.424,0.4809,4,8,125.55,6,3,28,0.421052632
C1CNC2CC3=C(C4=CC=CC1=C24)C(=C(C=C3)O)O,253.301,2.5077,3,3,52.49,0,2,19,0.25
CN1CCC2=CC(=C(C=C2C(C1)C3=CC=CC=C3)OC)OC,297.398,3.3236,0,3,21.7,3,2,22,0.368421053
CC(CC1=CC=CC=C1)NCCCC2=CC=CC=C2,253.389,3.84,1,1,12.03,7,2,19,0.333333333
CC1=C(C(C(=C(N1)C)[N+](=O)[O-])C2=CC=CC3=NON=C32)C(=O)OC(C)C,358.354,2.6434,1,8,120.39,4,2,26,0.352941176
CC1CN2C3=C(CN1CC=C(C)C)C=C(C=C3N=C2S)Cl,321.877,4.1487,1,3,21.06,2,2,21,0.4375
CC1=CC(=C(C=C1)C(=O)C)NC(C2=C(C=CC=C2Br)Br)C(=O)N,440.135,4.36112,2,3,72.19,5,2,23,0.176470588
CCCCCCCCCCCCCCCCCC(=O)NCC(COP(=O)([O-])OCC[N+](C)(C)C)OC,536.735,5.5869,1,6,96.92,26,0,36,0.962962963
CCCCCCCCCCCCCCCCCC(=O)NCC(COP(=O)(O)OCC[N+](C)(C)C)OC,537.743,6.2189,2,5,94.09,26,0,36,0.962962963
CC(C(C1=CC=CC=C1)O)NC,165.236,1.3279,2,2,32.26,3,1,12,0.4
CC1CC2C(O2)C=CC=CC(=O)CC3=C(C(=CC(=C3Cl)O)O)C(=O)O1,364.781,2.6916,2,6,96.36,0,1,25,0.333333333
C1=CC2=C(C=C1I)C(=CC3=CC(=C(C(=C3)Br)O)Br)C(=O)N2,520.946,5.0145,2,2,49.33,1,2,21,0
C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,473.594,6.0752,2,6,70,7,4,34,0.25
C1CC2=C(CC1NS(=O)(=O)C3=CC=C(C=C3)F)C4=CC=CC=C4N2CCC(=O)O,416.474,3.0909,2,3,88.4,6,3,29,0.285714286
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(C)C,245.326,2.30472,1,2,38.96,3,2,18,0.357142857
CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O,416.518,2.3832,2,5,95.94,9,1,30,0.608695652
CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,314.411,1.459,2,7,83.58,10,1,21,0.538461538
CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,914.187,6.1806,3,13,195.43,6,0,65,0.745098039
CC(C)OC1=C(N=CC=C1)N(C)C2CCN(CC2)CC3=CC=C(C=C3)I,465.379,4.5742,0,4,28.6,6,2,26,0.476190476
C1=CC=C2C(=C1)C(=CC(=O)N2)CC(C(=O)O)NC(=O)C3=CC=C(C=C3)Cl,370.792,2.6072,3,3,99.26,5,3,26,0.105263158
COC1C(OC(C(C1O)O)N2C3=C(C=CC=C3Cl)C4=C5C(=C6C7=C(C(=CC=C7)Cl)NC6=C42)C(=O)NC5=O)CO,570.385,3.2459,5,7,146.04,3,5,39,0.259259259
C1=CC=C(C=C1)COC(=O)NCC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3N,375.428,3.9475,3,4,93.45,6,3,28,0.090909091
C1=CC=C(C=C1)COC(=O)NCC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3O,376.412,4.0709,3,4,87.66,6,3,28,0.090909091
C1=CC=C(C=C1)COC(=O)NCC2=CC=C(C=C2)C(=O)NC3=CC=CC(=C3)N,375.428,3.9475,3,4,93.45,6,3,28,0.090909091
C1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)C=CC(=O)NC3=CC=CC=C3N,393.468,3.7215,3,4,101.29,6,3,28,0
C1CCN(CC1)CC2=C(C=C3C4=C2C=CC=C4C(=O)N(C3=O)CCCCCC(=O)NC5=CC=CC=C5N)O,514.626,4.9086,3,6,115.97,9,3,38,0.366666667
CC=C(C)C(=O)OCC1C2=C(CC3N1C(C4CC5=C(C3N4C)C(=O)C(=C(C5=O)C)OC)O)C(=O)C(=C(C2=O)OC)C,566.607,1.081,1,11,139.75,5,0,41,0.5
CC1=C(C2=C(C=C1)C3=C(C(=O)C=C(O3)C(=O)OCCC(C)C)C(=O)N2)C,355.39,3.45424,1,5,89.37,4,3,26,0.35
COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,608.688,4.1711,1,10,117.78,8,3,44,0.515151515
CC(=CC1C(C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C,338.447,5.152,0,3,39.44,6,2,25,0.409090909
C1=CC(=CC(=C1)O)O,110.112,1.0978,2,2,40.46,0,1,8,0
CC(=O)OC1=CC=CC(=C1)O,152.149,1.3175,1,3,46.53,1,1,11,0.125
C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,228.247,2.9738,3,3,60.69,2,2,17,0
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCOC(=O)C)C)C,328.496,6.0811,0,2,26.3,6,0,24,0.5
CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(CCCC1(C)C)C,524.874,11.5425,0,2,26.3,20,0,38,0.694444444
CCCCCC(C1=CC(=CC=C1)OCC2=NC3=CC=CC=C3C=C2)O,335.447,5.4275,1,3,42.35,8,3,25,0.318181818
COC1=C(C=C(C=C1)C=C(C#N)C2=CN=CC=C2)OC,266.3,3.16298,0,4,55.14,4,2,20,0.125
C1=CC(=CN=C1)C(=CC2=CC(=CC(=C2)Cl)Cl)C#N,275.138,4.45258,0,2,36.68,2,2,18,0
COC1=C(C=C(C=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O,420.414,0.4555,6,9,149.07,6,2,30,0.333333333
C1CCC(=NOC(=O)NCCCCCCNC(=O)ON=C2CCCCC2)CC1,394.516,4.6394,2,6,101.38,9,0,28,0.8
C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N,244.207,-3.0115,4,7,143.72,3,1,17,0.625
